,mass_list,mass,abundance,filtered,clusters,fmr_list
0,200.1776,200.1776,9.36266141,0.0,6.0,0.6945069411685694
1,228.2089,228.2089,45.07091544,0.0,4.0,0.7719853024836141
2,256.2402,256.2402,146.4769118,0.0,2.0,0.8494636637986588
3,284.2715,284.2715,321.379156,0.0,0.0,0.9269420251137035
4,312.3028,312.3028,476.0383828,0.0,1.0,0.004420386428748202
5,340.3341,340.3341,476.0383828,0.0,3.0,0.08189874774379113
6,368.3654,368.3654,321.379156,0.0,5.0,0.15937710905883762
7,396.3967,396.3967,146.4769118,0.0,7.0,0.23685547037388233
8,424.428,424.428,45.07091544,0.0,9.0,0.31433383168892703
9,452.4593,452.4593,9.36266141,1.0,11.0,0.39181219300397174
10,198.1619,198.1619,8.236559921,0.0,8.0,0.6170266554557147
11,226.1932,226.1932,40.78611384,0.0,6.0,0.6945050167707585
12,254.2245,254.2245,136.3498067,0.0,4.0,0.771983378085805
13,282.2558,282.2558,307.7318593,0.0,2.0,0.8494617394008497
14,310.2871,310.2871,468.8847735,0.0,0.0,0.9269401007158944
15,338.3184,338.3184,482.3202914,0.0,1.0,0.00441846203093732
16,366.3497,366.3497,334.9505317,0.0,3.0,0.08189682334598203
17,394.381,394.381,157.0368389,0.0,5.0,0.15937518466102674
18,422.4123,422.4123,49.70477955,0.0,7.0,0.23685354597607144
19,450.4436,450.4436,10.62112437,0.0,9.0,0.31433190729111615
20,196.1462,196.1462,7.231195903,0.0,10.0,0.53954636974286
21,224.1775,224.1775,36.83375506,0.0,8.0,0.6170247310579047
22,252.2088,252.2088,126.6652833,0.0,6.0,0.6945030923729494
23,280.2401,280.2401,294.0660829,0.0,4.0,0.7719814536879941
24,308.2714,308.2714,460.9013805,0.0,2.0,0.8494598150030406
25,336.3027,336.3027,487.6933301,0.0,0.0,0.9269381763180835
26,364.334,364.334,348.3865322,0.0,1.0,0.004416537633128215
27,392.3653,392.3653,168.0163842,0.0,3.0,0.08189489894817292
28,420.3966,420.3966,54.70381886,0.0,5.0,0.15937326026321585
29,448.4279,448.4279,12.02428859,0.0,7.0,0.23685162157826412
30,194.1305,194.1305,6.335663647,1.0,12.0,0.46206608403000615
31,222.1618,222.1618,33.1968889,0.0,10.0,0.5395444453450509
32,250.1931,250.1931,117.429819,0.0,8.0,0.6170228066600938
33,278.2244,278.2244,280.436884,0.0,6.0,0.6945011679751403
34,306.2557,306.2557,452.1344603,0.0,4.0,0.771979529290185
35,334.287,334.287,492.1254438,0.0,2.0,0.8494578906052279
36,362.3183,362.3183,361.6260976,0.0,0.0,0.9269362519202744
37,390.3496,390.3496,179.3987633,0.0,1.0,0.004414613235319109
38,418.3809,418.3809,60.08344965,0.0,3.0,0.08189297455036382
39,446.4122,446.4122,13.58519913,0.0,5.0,0.15937133586540853
