,mass_list,mass,abundance,filtered,clusters,fmr_list
0,200.1776,200.1776,9.36266141,0.0,9.0,0.3116828806434313
1,228.2089,228.2089,45.07091544,0.0,7.0,0.2185114984916794
2,256.2402,256.2402,146.4769118,0.0,5.0,0.1253401163399417
3,284.2715,284.2715,321.379156,0.0,3.0,0.032168734188189774
4,312.3028,312.3028,476.0383828,0.0,1.0,0.9389973520364379
5,340.3341,340.3341,476.0383828,0.0,0.0,0.845825969884686
6,368.3654,368.3654,321.379156,0.0,2.0,0.7526545877329625
7,396.3967,396.3967,146.4769118,0.0,4.0,0.6594832055811821
8,424.428,424.428,45.07091544,0.0,6.0,0.5663118234294302
9,452.4593,452.4593,9.36266141,0.0,8.0,0.4731404412776783
10,198.1619,198.1619,8.236559921,0.0,9.0,0.31165810673010697
11,226.1932,226.1932,40.78611384,0.0,7.0,0.21848672457834084
12,254.2245,254.2245,136.3498067,0.0,5.0,0.12531534242660314
13,282.2558,282.2558,307.7318593,0.0,3.0,0.032143960274851224
14,310.2871,310.2871,468.8847735,0.0,1.0,0.9389725781230993
15,338.3184,338.3184,482.3202914,0.0,0.0,0.8458011959713474
16,366.3497,366.3497,334.9505317,0.0,2.0,0.7526298138195955
17,394.381,394.381,157.0368389,0.0,4.0,0.6594584316678436
18,422.4123,422.4123,49.70477955,0.0,6.0,0.5662870495161201
19,450.4436,450.4436,10.62112437,0.0,8.0,0.47311566736436816
20,196.1462,196.1462,7.231195903,0.0,9.0,0.3116333328167684
21,224.1775,224.1775,36.83375506,0.0,7.0,0.2184619506650307
22,252.2088,252.2088,126.6652833,0.0,5.0,0.1252905685132646
23,280.2401,280.2401,294.0660829,0.0,3.0,0.032119186361512675
24,308.2714,308.2714,460.9013805,0.0,1.0,0.9389478042097892
25,336.3027,336.3027,487.6933301,0.0,0.0,0.8457764220580373
26,364.334,364.334,348.3865322,0.0,2.0,0.7526050399062854
27,392.3653,392.3653,168.0163842,0.0,4.0,0.6594336577545334
28,420.3966,420.3966,54.70381886,0.0,6.0,0.5662622756027815
29,448.4279,448.4279,12.02428859,0.0,8.0,0.4730908934510296
30,194.1305,194.1305,6.335663647,0.0,9.0,0.3116085589034441
31,222.1618,222.1618,33.1968889,0.0,7.0,0.21843717675169216
32,250.1931,250.1931,117.429819,0.0,5.0,0.12526579459994025
33,278.2244,278.2244,280.436884,0.0,3.0,0.03209441244820255
34,306.2557,306.2557,452.1344603,0.0,1.0,0.9389230302964506
35,334.287,334.287,492.1254438,0.0,0.0,0.8457516481446987
36,362.3183,362.3183,361.6260976,0.0,2.0,0.7525802659929468
37,390.3496,390.3496,179.3987633,0.0,4.0,0.6594088838411949
38,418.3809,418.3809,60.08344965,0.0,6.0,0.566237501689443
39,446.4122,446.4122,13.58519913,0.0,8.0,0.47306611953769107
